,parameter_stable_id,external_sample_id,date_of_birth,experiment_source_id,sex,colony_id,download_url,jpeg_url,allele_symbol
0,IMPC_EYE_050_001,A31441,2013-11-22T00:00:00Z,Eye Morphology - A31441 - 163059,male,JR18586,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/700248,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/700248,Nat8f2<tm1.1(KOMP)Vlcg>
0,IMPC_EYE_050_001,J10396,2015-10-16T00:00:00Z,Eye Morphology - J10396 - 667453,male,JR26542,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/702478,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/702478,Tpcn1<tm1.1(KOMP)Vlcg>
0,IMPC_EYE_050_001,D42270,2020-10-04T00:00:00Z,Eye Morphology - D42270 - 3056178,female,JR33292,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/1279651,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/1279651,Naa35<em1(IMPC)J>
0,IMPC_EYE_050_001,K99250,2015-08-11T00:00:00Z,Eye Morphology - K99250 - 587305,female,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/699888,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/699888,
0,IMPC_EYE_050_001,K68821,2015-03-28T00:00:00Z,Eye Morphology - K68821 - 427905,male,JR25732,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/701614,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/701614,Fxn<em1(IMPC)J>
0,IMPC_EYE_050_001,K85205,2015-06-02T00:00:00Z,Eye Morphology - K85205 - 494015,male,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/699131,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/699131,
0,IMPC_EYE_050_001,K96608,2015-08-05T00:00:00Z,Eye Morphology - K96608 - 581566,male,JR24515,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/701883,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/701883,Bex4<tm1.1(KOMP)Vlcg>
0,IMPC_EYE_050_001,K12621,2014-04-22T00:00:00Z,Eye Morphology - K12621 - 248079,male,JR18604,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/702472,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/702472,Col18a1<tm1.1(KOMP)Vlcg>
0,IMPC_EYE_050_001,J15380,2015-10-20T00:00:00Z,Eye Morphology - J15380 - 674152,female,unknown,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/699096,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/699096,
0,IMPC_EYE_050_001,J13679,2015-10-29T00:00:00Z,Eye Morphology - J13679 - 684549,male,JR26985,//www.ebi.ac.uk/mi/media/omero/webgateway/archived_files/download/699816,//www.ebi.ac.uk/mi/media/omero/webgateway/render_image/699816,Myo1h<tm1b(KOMP)Wtsi>
